,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1820,-0.40213865,-0.24433599,0.07342826,0.2247417,-0.18989654,-0.17719413,-0.20380257,-0.05224738,0.68572414,-0.04772916,0.14821684,0.23494349,0.27658701,-0.23359908,0.09426395,-0.41901901,0.0,0.54807079,0.1075694
1821,-0.30166507,-0.05816865,-0.03091381,0.47638816,-0.28292623,0.31129551,-0.12688878,0.09582578,0.33831444,0.3611778,0.12034931,-0.08953755,0.02276235,-0.25923726,0.01703199,-0.07460491,0.00526323,0.35439467,0.05348719
1822,-0.21091387,0.34070507,0.22522536,0.05469011,0.32299,-0.22127631,0.27381772,0.13885373,0.07210983,-0.32634333,0.62056279,1.04335713,-0.37284353,0.72791535,-0.00205588,-0.06606291,0.0,0.48840177,0.0
1823,-0.29220009,-0.06588463,0.01882043,-0.62727904,-0.01438335,-0.20308299,0.05248372,0.12885629,-0.19659603,-0.45463166,-0.02827729,-0.12997532,-0.24252306,0.07663179,0.16334006,0.33168721,0.01594277,0.0084403,0.0347676
1824,-0.17886758,0.71888226,-0.03643165,0.12622291,-0.17303294,-0.24724764,-0.5607692,0.10542855,-0.11670305,-0.96297324,0.11354611,0.25137171,0.05861892,0.22396682,0.05177275,0.2084136,0.01582835,0.10089091,0.53692138
1825,-0.13325302,0.25333825,0.27018902,0.37960261,-0.20446755,-0.12446856,0.34702218,0.57706165,0.18391594,-0.25642222,-0.27530175,0.2921305,0.04750158,0.11358298,-0.25358361,0.21110876,0.01061768,0.00820771,0.28354636
1826,-0.05645512,-0.01360763,0.38183805,0.04003322,-0.08040912,-0.09625864,0.07805349,0.64554489,0.05385691,-0.29955238,-0.18073599,0.17732745,-0.34843886,0.25967291,-0.18809597,0.19409993,0.01060688,0.01036701,0.08773527
1827,-0.44120947,-0.10489487,0.16041225,-0.05474073,-0.09634627,-0.25494045,-0.33302811,0.63348335,-0.21393487,-0.94248813,0.00545301,0.28832147,-0.65733624,0.51183885,0.05652295,0.45028219,0.0,0.00065223,0.08131968
1828,-0.14071858,0.31866795,0.33449572,0.08460543,-0.11798095,-0.0306228,0.20478007,0.71156645,0.02266488,-0.45435756,-0.39143786,0.36327478,-0.18860312,0.2468302,-0.36031175,0.30798545,0.00528678,0.00536873,0.01194943
1829,-0.18146701,1.17574847,0.47967744,-0.5603072,-0.0583958,-0.37327433,-0.33034897,0.46097809,-0.80870956,-0.50875157,-0.33924404,1.27230608,-0.11913505,0.78279614,0.19053012,0.34156364,0.02090356,0.00754562,0.1343531
1830,-0.34933335,0.65378636,0.07591479,-0.99708229,0.22813414,-0.70383346,-0.62585133,0.12191615,-0.38506413,-0.80782455,-0.27097225,1.06838834,0.38876897,0.91317558,0.83361822,-0.37635472,0.0,0.00402196,0.00519532
1831,-0.44265586,-0.03871474,0.42231822,-0.34833905,-0.15604132,-0.22203548,-0.21832733,0.55480874,-0.16236037,-0.67568845,0.08413644,0.5741353,-0.29870772,0.8520481,0.65882409,0.15449715,0.0,0.00266332,0.01347787
1832,0.36358091,0.88827807,0.23925142,0.23171213,0.21530445,0.39084539,-0.99841464,-0.37733909,-0.30187631,-0.11919262,0.92468917,0.6476987,-0.33159211,0.81299561,0.04594586,0.02792554,0.0,0.01722439,0.03883438
1833,0.55689883,0.93087792,0.44974563,0.18642464,0.16942945,0.50227338,-0.6216644,-0.3428238,0.05276346,-0.13153522,0.54735875,0.29962924,-0.20786396,0.61616057,0.03555177,0.19472773,0.0052319,0.00030341,0.02141923
1834,-0.09068508,0.73858619,0.36826167,-0.28351668,-0.48187292,0.07011671,-0.00382028,-0.05749683,-0.82350278,-0.91975838,0.23923136,0.54977185,0.55151975,0.39102176,0.30048117,-0.30896047,0.01058932,0.04073926,0.04580737
1835,-0.00155494,0.26670942,0.22758283,0.22068381,-0.30476213,-0.24115902,-0.65962607,-0.03982558,-0.59245324,-0.55985421,0.19299743,0.55434757,0.4805755,0.11280908,-0.11300635,-0.26293677,0.02120248,0.11903737,0.13983369
1836,-0.05758266,0.28093034,0.5691613,-0.94079906,-0.14428125,-0.09212305,-0.75035059,-0.65952736,-0.51416057,0.11964528,0.53285491,1.0238018,0.40408358,0.1410064,-0.24336994,-0.49185616,0.0105738,0.00436935,0.01541224
1837,0.01456165,0.46938205,0.56753427,-0.2525228,-0.14420037,-0.21212572,-0.34555364,0.18916279,-0.3657746,-0.03339878,0.28802109,0.14692582,-0.16157268,-0.4551748,0.04875909,-0.30548975,0.00486401,0.0942766,0.07440274
1838,0.03050776,0.19249126,0.75437587,-0.0855737,-0.24690229,-0.38561222,-0.37592116,-0.08103713,-0.00175013,-0.43371955,0.27980253,0.95827216,0.35372832,0.11605113,-0.19791576,-0.2274283,0.0,0.04524847,0.11415582
1839,0.4036456,0.24591117,0.10812932,0.01915606,-0.22070168,0.00473306,-0.45974347,0.08660952,-0.71987838,0.32020995,-0.35176098,-0.0780547,0.54404026,-0.43572009,-0.45277831,0.18534198,0.00531467,0.01278765,0.09741542
1840,0.34693146,0.63235474,0.42868578,-0.2890622,0.0613506,0.47925603,-0.08352432,-0.45273045,-0.09858248,-0.49545813,-0.00061,0.07756297,0.29565349,0.26559487,0.44476348,-0.35553184,0.0,0.00035589,0.04488874
1841,-0.49408445,0.89962471,-0.02053153,-0.35990617,-0.06352561,-0.46119404,-0.94562298,-0.09770563,-0.70132637,-0.26103294,0.73941344,0.36278868,-0.43891072,0.88859326,0.00555882,-0.36979505,0.0,0.21286488,0.13242239
1842,-0.22281012,0.52991408,0.40569648,-0.41135889,0.08490405,-0.33699739,-0.19726412,0.275287,-0.23695631,-1.11567116,0.20370939,0.60327697,-0.76248121,0.69818175,-0.00391298,0.60171568,0.0105857,0.0341294,0.01542398
1843,0.28605971,0.23640096,0.49179327,0.10745142,-0.03942794,-0.45348912,-0.36975083,-0.05680336,-0.21783413,-0.54960203,0.43823186,-0.11705872,0.0268497,0.22486304,0.36089796,-0.23732495,0.01591928,0.0029478,0.07193751
1844,-0.04423733,0.36022311,0.32441184,-0.36848861,-0.17703159,0.01477545,-0.55528206,0.12102079,-0.74292266,-0.92878312,0.3731896,0.98118365,0.18915428,0.56996965,-0.28551781,-0.31995651,0.00531037,0.00348395,0.04690488
1845,-0.20244448,0.45584002,0.50816959,-0.04994889,-0.01024916,-0.43860891,-0.55438983,-0.29161593,0.10786437,0.05925481,0.44176704,0.26184034,-0.19875719,0.09570154,0.3280884,-0.46916938,0.00525212,0.03674384,0.00325214
1846,0.2631003,0.1813554,0.67019904,-0.21180698,-0.48257738,0.1165555,-0.53710175,0.09519529,-0.1860842,-0.02190862,0.52459145,0.50779742,0.50472289,-0.18032573,-0.43310654,-0.32204819,0.01050229,0.0038339,0.02520395
1847,-0.03011372,-0.13535918,0.4039259,0.28423119,-0.18447697,-0.26067901,-0.38955402,-0.010188,-0.01969525,-0.07268222,-0.01986111,0.24857268,0.23429622,-0.24019268,-0.15924267,-0.34732032,0.03105829,0.0,0.15719508
1848,0.00725266,0.47061503,0.26410186,0.43448973,-0.20009726,0.03921906,-0.59901619,-0.04404405,-0.32124227,0.18709551,-0.2604087,0.31812128,0.13305604,0.01918149,-0.28647125,0.33595839,0.0,0.17928179,0.35983261
1849,0.5529995,0.47595775,0.87689316,-0.10001043,-0.20440267,-0.21735227,-0.87619579,-0.58109176,-0.62435919,-0.0706776,0.04378298,0.19138402,0.18884394,-0.18180098,0.09112734,0.30055115,0.0,0.05932379,0.24484427
